codigo;nome;categoria;Energia (kcal);Carboidrato disponível (g);Proteína (g);Lipídios (g);Fibra alimentar (g);Ácidos graxos saturados (g);Ácidos graxos trans (g);Sódio (mg);Açúcar de adição (g);Alfa-tocoferol (Vitamina E) (mg);Carboidrato total (g);Cinzas (g);Cobre (mg);Colesterol (g);Colesterol (mg);Cálcio (mg);Energia (kJ);Equivalente de folato (mcg);Ferro (mg);Fósforo (mg);Magnésio (mg);Niacina (mg);Potássio (mg);Riboflavina (mg);Sal de adição (g);Selênio (mcg);Tiamina (mg);Umidade (g);Vitamina A (RAE) (mcg);Vitamina A (RE) (mcg);Vitamina B12 (mcg);Vitamina B6 (mg);Vitamina C (mg);Vitamina D (mcg);Zinco (mg);Ácidos graxos monoinsaturados (g);Ácidos graxos poliinsaturados (g);Álcool (g)
C0001C;Abacate, polpa, in natura, Persea americana Mill,;Frutas e derivados;76.00;1.81;1.15;6.21;4.03;1.70;0.00;0.00;0.00;0.02;5.84;0.47;0.12;;0.00;7.16;312.00;41.50;0.17;18.50;17.00;0.00;174.00;0.04;0.00;0.20;0.00;86.30;3.11;6.21;0.00;0.00;7.32;0.00;0.23;3.18;1.04;0.00
C0054C;Abacaxi, polpa, congelada, Ananas comosus L.,;Frutas e derivados;33.00;7.47;0.47;0.11;0.33;0.01;0.00;1.24;0.00;0.02;7.80;0.33;0.04;;0.00;13.50;142.00;11.20;0.36;7.63;10.10;0.00;106.00;0.00;0.00;0.06;0.05;91.30;1.13;2.26;0.00;0.00;1.25;0.00;0.06;0.01;0.04;0.00
C0264C;Abacaxi, polpa, desidratada, Ananas comosus,;Frutas e derivados;279.00;58.60;3.80;1.86;6.24;0.13;0.00;15.90;0.00;0.26;64.90;1.99;0.69;;0.00;102.00;1115.00;63.10;2.64;58.70;92.80;0.00;767.00;0.11;0.00;2.26;0.92;27.50;5.58;11.20;0.00;0.00;184.00;0.00;0.86;0.18;0.57;0.00
C0002C;Abacaxi, polpa, in natura, Ananas comosus L.,;Frutas e derivados;50.00;10.50;0.68;0.33;1.12;0.02;0.00;2.84;0.00;0.05;11.60;0.36;0.12;;0.00;18.40;211.00;11.30;0.47;10.50;16.60;0.00;137.00;0.02;0.00;0.41;0.17;87.00;1.00;2.00;0.00;0.00;33.10;0.00;0.15;0.03;0.10;0.00
C0069C;Abiu, in natura, Lucuma caimito (Ruiz & Pav.) Roem & Schult,;Frutas e derivados;66.00;13.20;0.83;0.70;1.70;0.30;0.00;0.00;0.00;;14.90;0.39;0.09;;0.00;5.78;279.00;;0.16;20.30;9.30;0.00;128.00;0.04;0.00;;0.00;83.10;;;0.00;0.05;10.30;0.00;0.10;0.10;0.10;0.00
C0291C;Abricó (damasco), in natura, Mammea americana,;Frutas e derivados;57.00;10.00;0.30;1.00;3.50;0.28;0.00;1.76;0.00;;13.50;0.20;0.01;0.00;;8.00;240.00;10.10;0.12;;0.22;;31.80;0.06;0.00;0.80;0.11;85.00;;;;0.05;16.70;;0.18;0.20;0.17;0.00
C0002B;Abóbora, cabotian (japonesa), s/ casca, s/sementes, crua, Cucurbita maxima x Cucurbita moschata,;Vegetais e derivados;41.00;6.19;1.75;0.54;2.17;0.12;0.00;0.00;0.00;5.72;8.36;0.84;0.06;;0.00;18.00;172.00;21.90;0.37;25.80;8.82;0.00;350.00;0.00;0.00;1.10;0.00;88.50;254.00;508.00;0.00;0.10;5.09;0.00;0.32;0.08;0.05;0.00
C0003B;Abóbora, menina brasileira, s/ casca, s/ sementes, crua, Cucurbita moschata,;Vegetais e derivados;13.00;2.17;0.61;0.00;1.17;0.00;0.00;0.00;0.00;0.04;3.34;0.36;0.02;;0.00;8.74;57.00;8.21;0.15;11.60;4.09;0.00;164.00;0.00;0.00;1.10;0.07;95.70;667.00;1335.00;0.00;0.04;1.50;0.00;0.00;0.00;0.00;0.00
C0004B;Abóbora, moranga, s/ casca, s/ sementes, crua, Curcubita spp.,;Vegetais e derivados;16.00;1.44;1.12;0.13;2.22;0.03;0.00;0.00;0.00;1.38;3.66;0.46;0.05;;0.00;3.05;66.00;10.30;0.00;7.91;1.85;0.00;124.00;0.00;0.00;1.10;0.00;94.60;176.00;353.00;0.00;0.06;9.65;0.00;0.07;0.02;0.01;0.00
C0064B;Abóbora, paulista, crua, Cucurbita maxima Duchesne,;Vegetais e derivados;30.00;5.26;0.64;0.14;2.61;0.03;0.00;0.50;0.00;0.04;7.87;0.50;0.10;;0.00;18.70;126.00;12.20;0.17;32.70;9.39;0.00;212.00;0.00;0.00;1.10;0.00;90.90;176.00;353.00;0.00;0.03;17.50;0.00;0.18;0.01;0.06;0.00
C0005B;Abóbora, pescoço, s/ casca, s/ sementes, crua, Cucurbita moschata,;Vegetais e derivados;24.00;3.82;0.67;0.12;2.30;0.03;0.00;0.75;0.00;1.27;6.12;0.60;0.09;;0.00;8.81;99.00;14.30;0.28;31.60;7.42;0.00;263.00;0.00;0.00;1.10;0.00;92.50;268.00;537.00;0.00;0.06;2.09;0.00;0.18;0.02;0.01;0.00
